"車站日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,臺大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿中心,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2015/1/1,"4,417 ","10,131 ","17,318 ","51,438 ","11,067 ","8,230 ","7,997 ","3,619 ","2,225 ","8,093 ","2,092 ","3,899 ","18,539 ","5,710 ","13,257 ","5,024 ","5,532 ","3,386 ","6,689 ","3,785 ","5,342 ","6,161 ","1,392 ","18,569 ","2,012 ","13,249 ","9,020 ","12,019 ","13,547 ","13,138 ","7,659 ","27,443 ","17,455 ","20,993 ","22,463 ","3,267 ","28,573 ","20,280 ","18,957 ","17,170 ","13,950 ","164,779 ","34,240 ","18,178 ","16,950 ","30,512 ","53,275 ","32,035 ","19,894 ","8,029 ","22,173 ","5,555 ","5,848 ","14,424 ","14,187 ","2,835 ","1,868 ","9,810 ","8,143 ","6,938 ","64,907 ",0 ,"12,998 ","5,616 ","15,412 ","10,969 ","24,734 ","41,300 ","30,554 ","17,931 ","31,246 ","90,980 ","13,045 ","24,030 ","34,170 ","20,184 ","58,168 ","13,960 ","15,899 ","9,150 ","9,689 ","10,713 ","32,314 ","11,864 ","7,167 ","3,690 ","17,001 ","9,552 ","12,431 ","25,220 ","6,977 ","8,367 ","4,177 ","1,966 ","2,996 ","6,153 ","8,117 ","9,446 ","11,563 ","18,814 ","22,265 ","8,821 ","9,469 ","9,445 ","8,711 ","9,516 ","6,418 ","6,843 ",,,,,,,,,,,
2015/1/2,"4,360 ","10,136 ","18,182 ","54,697 ","11,889 ","8,876 ","7,965 ","3,608 ","2,354 ","8,947 ","2,171 ","4,601 ","23,470 ","5,735 ","12,009 ","5,261 ","5,728 ","3,691 ","7,222 ","4,381 ","5,714 ","6,245 ","1,201 ","17,443 ","1,913 ","14,387 ","8,997 ","12,123 ","13,920 ","12,779 ","7,617 ","27,016 ","17,766 ","22,299 ","20,623 ","3,091 ","29,752 ","20,876 ","20,662 ","17,878 ","14,963 ","168,677 ","34,832 ","19,628 ","17,670 ","26,989 ","52,322 ","32,466 ","21,406 ","9,389 ","25,090 ","5,865 ","6,281 ","15,613 ","15,677 ","2,971 ","2,095 ","9,567 ","8,852 ","6,754 ","64,667 ",0 ,"13,641 ","6,255 ","16,116 ","13,284 ","26,049 ","41,305 ","31,965 ","18,977 ","30,022 ","84,000 ","11,749 ","25,865 ","35,748 ","21,301 ","58,318 ","13,515 ","16,250 ","9,513 ","10,234 ","9,880 ","29,905 ","11,510 ","8,290 ","4,040 ","17,314 ","9,983 ","12,209 ","25,457 ","7,465 ","9,354 ","4,290 ","1,954 ","2,984 ","6,531 ","8,043 ","9,899 ","11,439 ","17,900 ","22,184 ","9,669 ","10,217 ","10,124 ","9,149 ","9,935 ","6,648 ","6,942 ",,,,,,,,,,,
2015/1/3,"4,886 ","10,559 ","17,895 ","50,681 ","12,116 ","8,656 ","8,002 ","3,432 ","2,516 ","8,798 ","2,316 ","3,993 ","19,573 ","5,765 ","11,755 ","5,683 ","5,936 ","3,779 ","7,262 ","4,565 ","5,796 ","6,569 ","1,251 ","18,818 ","2,184 ","14,368 ","9,367 ","12,375 ","14,341 ","13,254 ","7,824 ","27,272 ","17,309 ","23,450 ","21,687 ","3,457 ","28,842 ","21,066 ","20,167 ","18,064 ","11,838 ","175,992 ","34,285 ","18,316 ","17,980 ","28,501 ","45,591 ","29,921 ","21,139 ","8,800 ","23,130 ","6,032 ","6,082 ","15,552 ","13,439 ","3,085 ","1,998 ","8,290 ","8,670 ","6,311 ","59,427 ",0 ,"13,595 ","6,134 ","16,387 ","12,849 ","26,427 ","41,607 ","31,899 ","18,996 ","29,298 ","82,197 ","12,546 ","26,610 ","33,394 ","20,116 ","55,155 ","13,959 ","15,421 ","9,432 ","9,846 ","9,679 ","26,318 ","11,331 ","10,741 ","3,800 ","17,411 ","13,061 ","12,067 ","23,807 ","7,564 ","9,067 ","4,320 ","1,801 ","3,093 ","6,770 ","8,090 ","9,764 ","11,007 ","17,662 ","22,022 ","9,465 ","10,282 ","10,216 ","9,422 ","10,168 ","6,751 ","7,183 ",,,,,,,,,,,
2015/1/4,"5,684 ","8,915 ","14,999 ","41,296 ","10,578 ","8,077 ","6,989 ","3,234 ","2,420 ","7,131 ","1,846 ","3,014 ","11,787 ","4,956 ","11,915 ","4,751 ","5,164 ","3,587 ","6,105 ","4,430 ","5,023 ","5,637 ","1,090 ","15,865 ","2,086 ","12,782 ","8,257 ","11,244 ","14,061 ","12,959 ","7,266 ","25,319 ","14,982 ","21,711 ","18,126 ","3,117 ","25,795 ","18,948 ","18,534 ","16,138 ","9,898 ","190,088 ","28,790 ","13,839 ","17,420 ","26,284 ","34,450 ","23,682 ","21,407 ","7,660 ","20,380 ","5,391 ","5,422 ","14,158 ","10,266 ","2,797 ","1,676 ","7,518 ","7,713 ","5,269 ","46,762 ",0 ,"12,523 ","5,476 ","15,214 ","10,921 ","22,841 ","39,093 ","29,458 ","17,645 ","24,964 ","62,534 ","12,222 ","22,810 ","26,628 ","15,765 ","45,150 ","13,256 ","13,007 ","8,624 ","8,484 ","8,679 ","21,416 ","9,429 ","9,619 ","3,398 ","13,906 ","8,879 ","10,319 ","16,084 ","6,536 ","8,051 ","4,526 ","1,801 ","2,782 ","5,952 ","6,402 ","9,759 ","9,935 ","16,087 ","18,785 ","8,470 ","9,168 ","9,530 ","8,354 ","9,151 ","6,245 ","6,271 ",,,,,,,,,,,
2015/1/5,"5,505 ","16,100 ","30,256 ","42,400 ","22,609 ","15,189 ","11,471 ","3,910 ","3,183 ","14,536 ","2,378 ","4,706 ","5,036 ","9,642 ","8,833 ","16,183 ","14,293 ","5,710 ","7,411 ","3,136 ","7,697 ","7,980 ","2,692 ","28,765 ","1,921 ","11,881 ","10,814 ","15,140 ","19,534 ","15,206 ","8,559 ","24,507 ","16,700 ","31,690 ","25,057 ","7,543 ","33,135 ","25,037 ","25,052 ","20,588 ","24,151 ","140,113 ","30,226 ","21,831 ","25,765 ","24,982 ","34,016 ","28,001 ","22,150 ","13,325 ","30,008 ","7,864 ","9,269 ","17,318 ","6,411 ","3,486 ","2,795 ","13,194 ","9,497 ","7,682 ","36,129 ",0 ,"15,065 ","6,626 ","19,870 ","19,824 ","26,702 ","31,520 ","41,384 ","23,683 ","28,146 ","56,080 ","20,074 ","28,780 ","34,219 ","20,187 ","51,218 ","19,589 ","17,776 ","14,881 ","11,195 ","9,809 ","22,029 ","14,105 ","6,001 ","4,807 ","33,988 ","16,693 ","15,992 ","16,597 ","11,991 ","9,738 ","4,949 ","4,085 ","3,839 ","8,441 ","7,842 ","12,576 ","15,862 ","25,508 ","20,363 ","11,314 ","11,458 ","10,964 ","11,313 ","10,852 ","8,261 ","7,831 ",,,,,,,,,,,
2015/1/6,"5,131 ","16,436 ","31,228 ","43,946 ","23,143 ","15,495 ","11,836 ","4,111 ","3,287 ","15,168 ","2,327 ","4,789 ","6,851 ","10,076 ","9,224 ","16,671 ","14,583 ","5,524 ","7,576 ","3,166 ","7,858 ","8,232 ","2,881 ","29,973 ","1,989 ","11,666 ","11,181 ","15,274 ","20,077 ","15,466 ","8,829 ","25,450 ","17,868 ","32,878 ","26,571 ","7,578 ","33,720 ","25,678 ","25,204 ","21,092 ","24,699 ","125,342 ","31,656 ","21,834 ","26,143 ","25,634 ","35,065 ","28,876 ","23,374 ","13,675 ","30,775 ","7,963 ","8,983 ","18,170 ","6,727 ","3,606 ","2,842 ","13,381 ","9,814 ","7,765 ","36,361 ",0 ,"15,109 ","6,592 ","19,969 ","20,126 ","27,454 ","31,670 ","41,559 ","24,228 ","27,503 ","57,764 ","21,459 ","29,697 ","35,509 ","20,962 ","51,117 ","20,608 ","17,850 ","15,350 ","11,380 ","10,036 ","22,525 ","14,989 ","6,070 ","4,861 ","34,993 ","17,460 ","16,704 ","16,887 ","12,495 ","9,999 ","4,962 ","4,128 ","4,093 ","8,805 ","7,759 ","12,519 ","16,084 ","26,427 ","20,922 ","11,489 ","11,607 ","11,255 ","11,537 ","10,909 ","8,150 ","8,057 ",,,,,,,,,,,
2015/1/7,"4,905 ","16,991 ","32,285 ","45,102 ","23,968 ","15,719 ","11,692 ","4,053 ","3,346 ","15,130 ","2,366 ","4,585 ","5,471 ","10,435 ","9,482 ","17,086 ","15,031 ","5,601 ","7,632 ","2,992 ","7,995 ","8,242 ","3,010 ","29,691 ","2,046 ","11,693 ","11,262 ","15,477 ","20,454 ","15,655 ","9,003 ","26,388 ","18,099 ","33,753 ","27,129 ","7,957 ","34,251 ","25,971 ","25,719 ","20,897 ","24,415 ","126,346 ","32,073 ","22,014 ","26,064 ","24,536 ","35,549 ","29,520 ","23,903 ","13,700 ","31,061 ","7,876 ","8,792 ","17,894 ","7,078 ","3,607 ","2,853 ","13,645 ","9,815 ","7,558 ","35,220 ",0 ,"15,474 ","6,727 ","20,102 ","19,933 ","27,371 ","31,907 ","41,970 ","24,308 ","27,640 ","59,136 ","22,291 ","30,490 ","36,865 ","21,476 ","52,338 ","20,757 ","18,156 ","15,306 ","11,654 ","9,961 ","22,539 ","15,055 ","6,069 ","4,946 ","35,512 ","17,896 ","17,109 ","17,024 ","12,292 ","9,978 ","5,095 ","4,279 ","4,032 ","8,861 ","7,957 ","12,638 ","16,632 ","25,966 ","21,477 ","11,471 ","11,653 ","11,204 ","11,748 ","11,046 ","8,187 ","8,114 ",,,,,,,,,,,
2015/1/8,"5,061 ","16,783 ","32,678 ","46,114 ","23,614 ","15,966 ","11,763 ","4,117 ","3,247 ","15,215 ","2,403 ","4,611 ","5,869 ","10,297 ","9,832 ","17,444 ","14,817 ","5,738 ","7,886 ","3,019 ","8,058 ","8,360 ","3,002 ","30,133 ","2,118 ","11,551 ","11,039 ","15,565 ","20,768 ","15,939 ","9,108 ","26,678 ","18,807 ","33,944 ","27,449 ","7,769 ","34,176 ","25,984 ","25,586 ","21,039 ","24,791 ","129,911 ","33,052 ","21,921 ","26,481 ","25,147 ","34,883 ","29,401 ","23,293 ","13,578 ","31,647 ","7,965 ","9,066 ","17,956 ","7,370 ","3,493 ","2,929 ","14,007 ","9,837 ","7,693 ","35,996 ",0 ,"15,283 ","6,585 ","20,243 ","20,212 ","27,532 ","32,674 ","42,452 ","24,749 ","28,108 ","60,028 ","22,635 ","30,676 ","37,112 ","21,613 ","54,065 ","20,904 ","17,986 ","15,285 ","11,902 ","10,220 ","23,611 ","14,986 ","5,838 ","4,992 ","36,214 ","18,158 ","17,152 ","17,063 ","12,404 ","10,215 ","5,298 ","4,376 ","4,024 ","8,832 ","7,884 ","12,993 ","16,222 ","26,358 ","21,569 ","11,496 ","11,691 ","11,544 ","11,739 ","11,137 ","8,379 ","8,272 ",,,,,,,,,,,
2015/1/9,"5,684 ","17,963 ","33,649 ","51,325 ","24,473 ","16,461 ","12,430 ","4,243 ","3,687 ","16,743 ","2,442 ","4,983 ","7,100 ","11,042 ","12,004 ","18,310 ","15,871 ","6,448 ","8,384 ","3,468 ","8,289 ","8,733 ","3,173 ","32,946 ","2,173 ","12,631 ","12,002 ","17,044 ","22,324 ","17,673 ","9,591 ","30,188 ","20,981 ","36,045 ","29,829 ","7,890 ","36,144 ","27,479 ","27,607 ","22,058 ","24,942 ","152,946 ","36,966 ","23,322 ","28,072 ","27,077 ","40,303 ","32,414 ","25,335 ","13,899 ","32,824 ","8,426 ","9,553 ","19,504 ","8,225 ","3,957 ","2,971 ","14,107 ","10,337 ","8,572 ","41,977 ",0 ,"16,269 ","7,044 ","21,142 ","20,608 ","30,091 ","36,814 ","44,639 ","26,035 ","29,052 ","69,945 ","22,874 ","33,663 ","40,841 ","23,422 ","59,570 ","21,973 ","19,257 ","16,726 ","12,671 ","10,803 ","32,973 ","16,072 ","6,665 ","5,386 ","37,037 ","19,145 ","17,933 ","19,317 ","13,150 ","10,947 ","5,499 ","4,354 ","4,437 ","9,114 ","8,554 ","14,470 ","17,445 ","27,473 ","23,677 ","12,065 ","12,469 ","12,133 ","12,148 ","11,673 ","8,890 ","8,812 ",,,,,,,,,,,
2015/1/10,"4,306 ","12,364 ","21,969 ","53,417 ","14,440 ","11,458 ","9,099 ","3,789 ","3,147 ","10,590 ","2,041 ","3,660 ","8,666 ","7,985 ","14,162 ","7,112 ","7,782 ","4,510 ","8,210 ","3,630 ","6,364 ","7,332 ","1,271 ","22,949 ","2,135 ","12,771 ","10,414 ","13,917 ","18,061 ","18,049 ","9,208 ","33,543 ","21,004 ","30,673 ","24,812 ","4,215 ","32,660 ","23,500 ","23,129 ","19,659 ","14,520 ","160,714 ","37,427 ","20,023 ","20,400 ","25,948 ","40,791 ","30,095 ","22,477 ","10,214 ","26,438 ","6,730 ","6,824 ","16,227 ","10,430 ","3,421 ","1,989 ","8,915 ","9,656 ","6,432 ","39,904 ",0 ,"13,984 ","6,577 ","17,842 ","14,795 ","29,667 ","37,201 ","37,463 ","22,411 ","28,492 ","75,909 ","15,551 ","33,816 ","37,867 ","20,978 ","55,590 ","17,448 ","16,452 ","10,666 ","9,501 ","8,403 ","35,319 ","12,521 ","8,872 ","3,992 ","20,609 ","16,221 ","13,408 ","20,158 ","9,807 ","10,592 ","5,824 ","2,496 ","3,610 ","7,502 ","8,602 ","11,245 ","12,688 ","20,011 ","22,789 ","10,369 ","11,161 ","11,458 ","10,172 ","10,872 ","7,663 ","8,010 ",,,,,,,,,,,
