"車站日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2015/1/1,9468,19417,34039,101978,22353,16041,14855,6867,4177,16074,3682,7475,37832,11111,25996,9787,10781,6795,12842,7523,10489,12353,2653,35512,4164,25772,18377,23180,26605,25608,14604,52023,34239,40484,43810,6210,56347,39491,37426,34058,26010,367809,68989,36682,32357,62457,105076,65835,38288,15659,44563,10707,10865,29568,28303,5659,3751,19618,16439,13668,124827,0,26982,11362,31303,20846,49362,87884,58563,35404,62182,178923,24939,46757,68714,42813,115628,25776,32345,17825,19061,20380,63644,22605,14399,7514,34398,19346,24348,48130,14651,17392,8312,3780,5973,12021,16087,17079,22772,37743,44510,17393,19015,19161,17176,18868,13244,13238,0,0,0,0,0,0,0,0,0,0,0
2015/1/2,9143,19878,36656,109963,24153,17640,15647,7015,4420,17910,4041,8684,48237,11488,23957,10545,11314,7256,14264,8959,10866,12445,2363,33070,4015,27593,17985,23427,27264,25283,14714,52481,35498,44190,41353,6447,59213,41278,39809,35374,30706,347854,71539,40407,33791,53566,103211,68023,41398,18255,50428,11116,11365,31797,31713,5839,4381,19438,17603,13454,126665,0,27549,12251,31938,24732,51657,85272,60092,37535,58930,170030,23878,51266,74880,46565,116307,26120,33412,18849,19691,20148,59551,23435,16739,8144,35643,20576,24658,49072,15129,19136,8419,3740,5892,12779,16207,18103,22769,36258,45049,18734,19983,20261,17774,19611,13161,13250,0,0,0,0,0,0,0,0,0,0,0
2015/1/3,9259,20665,36292,102505,25057,17304,15706,6705,5031,17910,4223,7606,40454,11866,23626,11629,11917,7549,14309,9511,11182,13097,2435,36101,4667,27874,18966,24326,28617,26721,15597,55247,35336,46733,44046,7273,58706,42364,39670,36263,23903,340347,69661,37745,34312,56496,90613,61460,41803,17552,47422,11645,11078,31768,27485,6198,3911,17287,17333,12731,118329,0,27582,12065,33058,24141,52625,83422,61528,38085,57759,166421,25721,52844,69941,44262,109002,27756,31681,18875,19180,19934,52862,23388,21884,7536,35911,26818,24659,46215,15679,18950,8356,3588,6233,13148,16492,17670,22014,35936,45098,18602,20482,20551,18548,20327,13423,13800,0,0,0,0,0,0,0,0,0,0,0
2015/1/4,10476,17821,30447,82113,22075,16689,14025,6510,4947,16595,3355,6011,24838,11128,24212,10310,10738,7370,12687,9114,9876,11591,2200,30653,4254,24800,17231,22530,28379,27158,14720,53597,31498,44385,37384,6623,53525,38902,36534,32350,19866,342265,58602,28399,33362,51757,69524,49407,44383,15497,42682,10622,9868,29840,20500,5582,3452,16441,15705,11077,98693,0,25078,10936,30415,20666,45035,75854,57006,35753,48988,126485,25279,46272,55654,33762,88744,26774,27006,18236,17153,17763,43148,19627,19725,6866,28489,18451,21346,31226,15248,16664,8953,3646,5616,11821,13161,16773,20094,33124,38282,16247,18128,19197,16437,18431,12538,12402,0,0,0,0,0,0,0,0,0,0,0
2015/1/5,10967,31627,62033,85665,45120,30099,22775,7463,6126,30340,4333,9441,10894,20022,17692,33418,28641,11076,14847,6077,15568,16213,5363,56195,3904,22079,22512,29866,39214,31074,16686,50443,33928,63614,49977,15625,67944,50024,49860,40532,49198,266902,60959,45089,49978,49152,67821,56736,44368,25991,62211,15254,16861,36355,12296,6862,5816,27405,19478,15253,74398,0,30127,13240,39771,37272,51968,65521,80292,47695,55315,112343,41528,57312,70924,41791,102837,38833,35609,30986,21539,18301,44505,28810,11820,9752,69221,33675,32672,32662,25761,20254,9204,8015,7580,16473,15910,23423,31742,52605,41324,21663,22991,22478,22088,21928,16155,14875,0,0,0,0,0,0,0,0,0,0,0
2015/1/6,10071,32288,64137,88203,46316,30553,23348,7804,6331,31397,4329,9430,13891,20501,18144,34461,29112,10889,15129,6207,15785,16755,5705,58491,4099,21734,23091,30133,40127,31006,17262,50171,35601,65585,52764,15650,68941,51317,50484,41555,50568,249296,63807,45265,50969,51071,69569,58122,46870,26826,62880,15390,16368,37838,12923,7293,5991,27327,20108,15360,72028,0,30341,13100,40092,38038,53473,66102,80665,48690,53741,115370,44086,58525,72931,43523,102964,41256,35817,31468,21792,18583,45207,30510,11897,9814,70942,35094,34160,33386,26136,20923,9171,8125,8019,17194,15853,23728,32073,54274,42505,22145,23444,23013,22742,21930,15965,15219,0,0,0,0,0,0,0,0,0,0,0
2015/1/7,9739,33392,66289,90450,47833,31069,23137,7795,6366,31288,4291,9220,10913,20985,19024,35206,29765,10972,15413,5795,16057,16862,5929,58166,4147,21755,23116,30529,40632,31706,17538,51950,36317,67161,53500,16266,69786,52001,51215,41261,50251,251467,64980,45360,50906,49133,69691,59108,48194,26777,63598,15233,16003,37513,13507,7155,5895,27769,20005,14951,69765,0,30914,13351,40457,37681,53518,67082,81350,49040,53890,117952,46162,60052,76205,44581,105407,41448,36367,31562,22260,18490,45356,30785,11896,10078,72048,36024,34924,33520,25716,20810,9393,8333,7980,17429,16147,23890,33056,53030,43626,22212,23642,23085,23006,22188,15999,15411,0,0,0,0,0,0,0,0,0,0,0
2015/1/8,9965,32999,66958,92456,47306,31517,23299,7806,6213,31283,4365,9208,11821,20850,19634,35810,29737,11252,15726,5879,16228,16862,5933,58853,4352,21451,22929,30700,41355,32112,17718,52284,37576,67221,54128,15939,69591,52240,50910,41550,50984,258681,66660,45482,51572,49913,68801,59335,46898,26542,64533,15397,16535,37619,14106,6899,6114,28398,20178,15140,71121,0,30816,13108,40532,38184,54065,68182,81936,49802,54827,119917,46607,60715,76726,44962,109165,41636,36113,31400,22815,18774,47190,30881,11429,10082,73932,36668,35069,33716,25996,21338,10069,8624,7985,17478,15956,24374,32649,54163,43666,22258,23778,23404,23076,22353,16356,15654,0,0,0,0,0,0,0,0,0,0,0
2015/1/9,10880,35222,69796,104239,49426,32573,24507,8091,6937,33312,4473,9686,13925,21561,24040,36917,31368,12278,16655,6623,16675,17772,6324,63835,4471,23506,24450,33117,43930,35298,18670,58605,41689,71600,58970,16413,73773,55226,54356,43625,51669,312051,75359,48615,54506,53830,78853,64651,50798,27086,66766,16125,17376,39739,15742,7773,6239,28271,20858,16540,79825,0,32563,14072,42486,38709,59289,76486,86072,52345,56296,141521,47339,66339,85231,49265,121595,43737,38322,33594,24289,20155,66543,33237,13223,11015,76448,38945,36767,38209,26948,22810,10293,8493,8767,17774,17432,26240,35069,56906,48368,23441,25235,24726,23643,23334,17406,16569,0,0,0,0,0,0,0,0,0,0,0
2015/1/10,8327,24239,45479,108153,29706,22930,17962,7323,6168,21046,3718,7042,17623,15788,28496,14290,15564,8912,16032,7245,12227,14802,2495,44136,4527,24350,20676,26886,35400,35676,17897,65885,42185,60656,49917,8840,65333,46497,45029,38826,30181,321820,76836,41702,39573,51035,80648,60560,44888,19855,53474,12792,12467,33031,21105,6774,4010,17921,19141,12826,78264,0,28216,12899,35282,27795,58659,76258,71394,44661,55993,154655,32637,66872,79167,45238,112130,34243,33439,21146,18522,16671,72418,25665,17986,8231,42862,33451,27200,39987,19825,21922,11456,4907,7068,14714,17373,20318,25744,41001,46642,20008,21914,23026,19802,21649,15130,14962,0,0,0,0,0,0,0,0,0,0,0
